Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from {fd}
Compute Ranks
Output Ranks
313 (0.0006711000239494995, 'BPN') Sepinggan, Indonesia
314 (0.0006710992188612608, 'SMF') Sacramento Intl, United States
315 (0.0006709358863045322, 'HFE') Luogang, China
316 (0.0006704433741977587, 'CJU') Jeju Intl, South Korea
317 (0.0006697948312998872, 'PUJ') Punta Cana Intl, Dominican Republic
318 (0.000658871050281639, 'ANI') Aniak Airport, United States
319 (0.000654785944121541, 'IND') Indianapolis Intl, United States
320 (0.0006499163450210875, 'TIP') Tripoli Intl, Libya
321 (0.0006484569352730222, 'GYE') Jose Joaquin De Olmedo Intl, Ecuador
322 (0.0006445941645971201, 'ISB') Chaklala, Pakistan
323 (0.0006412878425314114, 'SDU') Santos Dumont, Brazil
324 (0.0006407665794313068, 'ADB') Adnan Menderes, Turkey
325 (0.00063787761519303, 'CMH') Port Columbus Intl, United States
326 (0.0006356255056822056, 'CGQ') Changchun, China
327 (0.00063182454663573, 'BOD') Merignac, France
328 (0.0006301659769679122, 'PMO') Palermo, Italy
329 (0.0006299822386345626, 'YQB') Quebec Jean Lesage Intl, Canada
330 (0.0006295888098199786, 'LPB') El Alto Intl, Bolivia
331 (0.0006265508332993007, 'SXM') Princess Juliana Intl, Netherlands Antilles
332 (0.0006237879092745409, 'YHZ') Halifax Intl, Canada
333 (0.0006232523952273616, 'YZV') Sept Iles, Canada
334 (0.0006232103238318056, 'SOF') Sofia, Bulgaria
335 (0.0006221697951877708, 'CAG') Elmas, Italy
336 (0.0006213273922718528, 'RSW') Southwest Florida Intl, United States
337 (0.0006198085715393308, 'ABJ') Abidjan Felix Houphouet Boigny Intl, Cote d'Ivoire
338 (0.0006168361463290986, 'ABV') Nnamdi Azikiwe Intl, Nigeria
339 (0.000615924055409606, 'RAK') Menara, Morocco
340 (0.0006144350315706546, 'LPL') Liverpool, United Kingdom
341 (0.0006117416051658456, 'COK') Cochin, India
342 (0.0006100254846909049, 'TNR') Ivato, Madagascar
343 (0.0006091483111726894, 'LIN') Linate, Italy
344 (0.0006075142404843413, 'INC') Yinchuan, China
345 (0.0006027020327281636, 'PEN') Penang Intl, Malaysia
346 (0.000601447552653234, 'EIN') Eindhoven, Netherlands
347 (0.0005988686859730855, 'ITM') Osaka Intl, Japan
348 (0.0005925811252295425, 'SZB') Subang-Sultan Abdul Aziz Shah Intl, Malaysia
349 (0.0005889620035097663, 'SJW') Shijiazhuang Daguocun International Airport, China
350 (0.0005885232220511653, 'TAH') Tanna island, Vanuatu
351 (0.000587128387777976, 'YWK') Wabush, Canada
352 (0.0005871054538912698, 'MSQ') Minsk 2, Belarus
353 (0.0005853555298132272, 'ABQ') Albuquerque International Sunport, United States
354 (0.0005850550051607945, 'NGB') Lishe, China
355 (0.0005826588652332822, 'FOR') Pinto Martins Intl, Brazil
356 (0.0005817732347123634, 'TRD') Vaernes, Norway
357 (0.0005805579003622756, 'VNO') Vilnius Intl, Lithuania
358 (0.0005745857322480643, 'DLA') Douala, Cameroon
359 (0.0005730346489414784, 'LUN') Lusaka Intl, Zambia
360 (0.000570331287585658, 'WIL') Nairobi Wilson, Kenya
361 (0.0005701853820183258, 'LHE') Allama Iqbal Intl, Pakistan
362 (0.0005671527990698817, 'MDL') Mandalay Intl, Burma
363 (0.0005595717338748147, 'AUA') Reina Beatrix Intl, Aruba
364 (0.0005567876526616502, 'DUT') Unalaska, United States
365 (0.000556725467071635, 'BVA') Tille, France
366 (0.0005562262183656373, 'MYY') Miri, Malaysia
367 (0.0005561479122049088, 'KHV') Novy, Russia
368 (0.0005557112582958454, 'KRK') Balice, Poland
369 (0.0005555167877082826, 'RKV') Reykjavik, Iceland
370 (0.0005507505057829348, 'SNA') John Wayne Arpt Orange Co, United States
371 (0.0005502045248402984, 'CUR') Hato, Netherlands Antilles
372 (0.0005468845369373437, 'HHN') Frankfurt Hahn, Germany
373 (0.0005466212471913564, 'KHH') Kaohsiung Intl, Taiwan
374 (0.0005463881339090193, 'MRU') Sir Seewoosagur Ramgoolam Intl, Mauritius
375 (0.0005415734104365458, 'SAH') Sanaa Intl, Yemen
376 (0.0005407550128367945, 'VVO') Knevichi, Russia
377 (0.0005395999000203916, 'YNT') Laishan, China
378 (0.0005386613834261295, 'IKA') Imam Khomeini, Iran
379 (0.00053843054338808, 'NRN') Niederrhein, Germany
380 (0.0005375218756256638, 'SJD') Los Cabos Intl, Mexico
381 (0.0005373274779263559, 'KJA') Emelyanovo, Russia
382 (0.0005369619248570738, 'YQT') Thunder Bay, Canada
383 (0.0005362545970918972, 'SVG') Sola, Norway
384 (0.0005278571846488265, 'TLL') Tallinn, Estonia
385 (0.000526751705829487, 'BRI') Bari, Italy
386 (0.0005235048021710027, 'FNC') Madeira, Portugal
387 (0.0005230484944536428, 'SVQ') Sevilla, Spain
388 (0.0005205662121183437, 'LJG') Lijiang Airport, China
389 (0.000520338972901024, 'ULN') Chinggis Khaan Intl, Mongolia
390 (0.0005192840598478181, 'VVI') Viru Viru Intl, Bolivia
391 (0.0005169896351863965, 'YYR') Goose Bay, Canada
392 (0.0005158195309828531, 'AZA') Phoenix-Mesa Gateway, United States
393 (0.0005121516132426897, 'CIA') Ciampino, Italy
394 (0.0005101507926968309, 'TSV') Townsville, Australia
395 (0.0005098307437995781, 'OOL') Gold Coast, Australia
396 (0.0005077662279055129, 'TOS') Langnes, Norway
397 (0.0005068015635909687, 'TIJ') General Abelardo L Rodriguez Intl, Mexico
398 (0.0005037477639384553, 'DAL') Dallas Love Fld, United States
399 (0.0005036954507189562, 'HBE') Borg El Arab Intl, Egypt
400 (0.0005031843919251793, 'AKN') King Salmon, United States
401 (0.0004993763050008789, 'DLM') Dalaman, Turkey
402 (0.0004993250186768619, 'XNN') Xining Caojiabu Airport, China
403 (0.0004987482215023372, 'GOH') Nuuk, Greenland
404 (0.0004977004266894123, 'BOJ') Burgas, Bulgaria
405 (0.0004948284211587829, 'CLO') Alfonso Bonilla Aragon Intl, Colombia
406 (0.0004945496382662271, 'SDQ') Las Americas Intl, Dominican Republic
407 (0.0004942218638971754, 'GOT') Landvetter, Sweden
408 (0.0004928966067291717, 'NUE') Nurnberg, Germany
409 (0.0004927076580225122, 'SON') Santo Pekoa International Airport, Vanuatu
410 (0.000490274553338398, 'AMD') Ahmedabad, India
411 (0.0004890474003889642, 'YEV') Inuvik Mike Zubko, Canada
412 (0.00048646885832027796, 'GUM') Guam Intl, Guam
413 (0.0004861144492928771, 'RAR') Rarotonga Intl, Cook Islands
414 (0.00048100905769591626, 'KGL') Kigali Intl, Rwanda
415 (0.00048029124744815397, 'AJA') Campo Dell Oro, France
416 (0.0004796800697360549, 'GMP') Gimpo, South Korea
417 (0.0004748604031419315, 'WUX') Wuxi Airport, China
418 (0.00047432392556059065, 'GDN') Lech Walesa, Poland
419 (0.0004739875351086414, 'GAU') Lokpriya Gopinath Bordoloi International Airport, India
420 (0.0004731088469706227, 'MLE') Male Intl, Maldives
421 (0.0004724038860782254, 'AAQ') Vityazevo, Russia
422 (0.0004715666436723796, 'BRE') Neuenland, Germany
423 (0.0004713484921358612, 'JAX') Jacksonville Intl, United States
424 (0.000470804817651714, 'DAR') Mwalimu Julius K Nyerere Intl, Tanzania
425 (0.0004703182828892984, 'MYR') Myrtle Beach Intl, United States
426 (0.0004701444980827469, 'NAY') Beijing Nanyuan Airport, China
427 (0.0004691103383028398, 'SUV') Nausori Intl, Fiji
